X-3.803773,Y35.951,R-79.451607
X-3.080764,Y31.295523,R-71.297165
X-3.080763,Y31.295521,R-71.297165
X-3.080761,Y31.295519,R-71.297165
X-3.166155,Y29.721327,R-63.277687
X-3.270756,Y28.144476,R-55.290695
X-3.270754,Y28.144474,R-55.290695
X-3.359447,Y25.961946,R-47.190125
X-3.359449,Y25.961948,R-47.190125
X-2.905400,Y24.423365,R-38.940113
X-2.905401,Y24.423367,R-38.940113
X-3.080112,Y22.850611,R-30.697945
X-3.080113,Y22.850613,R-30.697945
X-2.643606,Y20.683510,R-22.585873
X-2.643605,Y20.683508,R-22.585873
X-2.223031,Y18.498938,R-14.806776
X-2.223029,Y18.498936,R-14.806776
X-1.820384,Y16.903584,R-7.456692
X-1.820387,Y16.903585,R-7.456692
X-1.820389,Y16.903587,R-7.456692
X-1.417876,Y15.285320,R-0.663833
X-1.021014,Y13.037680,R5.635762
X-1.021013,Y13.037680,R5.635762
X-1.021013,Y13.037680,R5.635762
X-0.629156,Y10.770613,R11.454406
X-0.629155,Y10.770611,R11.454406
X-0.241679,Y8.48550.743608,Y-12.851601,R36.449631
X-0.743610,Y-12.851599,R36.449631
X-0.683969,Y-14.183282,R32.698940
X-0.683971,Y-14.183279,R32.698940
X-0.683974,Y-14.183276,R32.698940
X-0.566565,Y-14.300685,R28.867611
X-0.471032,Y-15.09.319742,R-7.868701
X-5.636585,Y-9.319744,R-7.868701
X-5.636583,Y-9.319746,R-7.868701
X-5.633379,Y-9.322950,R-7.973199
X-5.633377,Y-9.322952,R-7.973199
X-5.638669,Y-8.715484,R-8.021884
X-5.647393,Y-8.104527,R-7.9567518043,Y5.101753,R-1123.393188
X3.647442,Y5.102355,R-1123.373413
X3.647439,Y5.102357,R-1123.373413
X3.649289,Y5.100508,R-1123.433838
X3.649287,Y5.100510,R-1123.433838
X3.649145,Y5.100652,R-1123.429321
X3.649144,Y5.100653,R-1120.852295
X3.542798,Y5.207001,R-1119.959351
X3.542800,Y5.206999,R-1119.959351
X3.507509,Y5.242291,R-1118.807739
X3.507509,Y5.242291,R-1118.807739
X3.463420,Y5.286379,R-1117.369019
X3.463420,Y5.286380,R-1117.3690198860
X10.443994,Y9.661128,R-948.851379
X10.443995,Y9.661126,R-948.851379
X10.717732,Y9.814024,R-938.616028
X10.717730,Y9.814027,R-938.616028
X10.412753,Y10.119003,R-928.664246
X10.412750,Y10.119006,R-928.664246
X10.6912,R-757.893188
X15.193878,Y11.640935,R-751.492920
X15.193878,Y11.640935,R-751.492920
X15.518396,Y11.528939,R-744.997498
X15.518399,Y11.528936,R-744.997498
X15.837931,Y11.414310,R-738.432434
X15.837932,Y11.414309,R-7386.848694
X22.239979,Y7.628887,R-556.848694
X22.814589,Y7.012890,R-548.178406
X23.374990,Y6.390103,R-539.397400
X23.374989,Y6.390105,R-539.397400
X23.102661,Y6.662431,R-530.511047
X23.102661,Y6.662432,R-530.511047
X23.56262,Y6.045172,R-348.353455
X21.558264,Y5.212787,R-340.123230
X21.558264,Y5.212787,R-340.123230
X21.301920,Y5.469131,R-331.758301
X21.301918,Y5.469133,R-331.758301
X21.305027,Y5.181687,R-323.234772
X21.305029,Y5.18168657,R-158.253632
X14.480782,Y-2.107121,R-150.078278
X14.480778,Y-2.107117,R-150.078278
X14.230554,Y-1.856893,R-141.913208
X14.230556,Y-1.856895,R-141.913208
X13.490032,Y-2.313459,R-133.613373
X13.490035,Y-2.313462,R-13,R-116.886444
X11.624291,Y-2.340873,R-108.512032
X11.624294,Y-2.340876,R-108.512032
X11.533525,Y-3.287666,R-100.045021
X11.533529,Y-3.287670,R-100.045021
X10.670457,Y-3.105942,R-91.593491
X10.670456,Y-3.105941,R-91.593491
X10.488516,Y-3.458571,R-83.360817
X10.488518,Y-3.458573,R-83.360817
X9.094837,Y-3.945506,R-75.335114
X9.094838,Y-3.945508,R-75.335114
X8.352999,Y-4.965948,R-67.209076
X8.353004,Y-4.965953,R-67.209076
X7.490701,Y-4.760361,R-58.876869
X7.490702,Y-4.760362,R-58.876869
X6.106295,Y-5.805950,R-50.559998
X6.106292,Y-5.805947,R-50.559998
X5.247605,Y-5.591031,R-42.378014
X5.247607,Y-5.591033,R-42.378014
X4.448633,Y-6.588017,R-34.265450
X4.448628,Y-6.588013,R-34.265450
X3.590528,Y-6.360603,R-26.123976
X3.590524,Y-6.360600,R-26.123976
X2.766954,Y-7.348130,R-18.116131
X2.766956,Y-7.348132,R-18.116131
X1.314423,Y-7.131163,R-10.458693
X1.314428,Y-7.13116-7.946340,R21.323908
X-2.240293,Y-7.804284,R25.959471
X-2.240289,Y-7.804287,R25.959471
X-3.580674,Y-7.630131,R29.987656
X-3.580671,Y-7.630135,R29.987656
X-3.580667,Y-7.630138,R29.987656
X-3.764358,Y-7.446447,R35.9818883
X-6.164879,Y-0.367191,R2.516303
X-6.105745,Y-0.426325,R0.586820
X-6.105747,Y-0.426322,R0.586820
X-6.053608,Y-0.478461,R-1.114634
X-6.053614,Y-0.478456,R-1.114634
X-6.053619,Y-0.478451,R-1.114634
X-6.005755,Y-0.52631591309
X-0.603230,Y0.162150,R2261.536621
X-0.603227,Y0.162148,R2261.536621
X-0.602660,Y0.161580,R2261.518066
X-0.602656,Y0.161577,R2261.518066
X-0.601271,Y0.160192,R2261.473145
X-0.601273,Y0.160194,R2261.473145
X-0.592550,R2260.896729
X-0.583632,Y0.142552,R2260.896729
X-0.578362,Y0.745246,R2260.690918
X-0.569544,Y0.736427,R2260.402832
X-0.569539,Y0.736423,R2260.402832
X-0.558012,Y0.724895,R2260.026855
X-0.558013,Y0.724897,R2260.026.633386,Y2.851774,R2167.615723
X3.861331,Y3.138233,R2157.300049
X3.861333,Y3.138231,R2157.300049
X4.079853,Y3.424192,R2147.011230
X4.079855,Y3.424190,R2147.011230
X4.182446,Y4.310644,R2136.791016
X4.182441,Y4.310649,R20.156616
X6.436898,Y12.644040,R1933.122192
X6.436898,Y12.644040,R1933.122192
X6.376211,Y12.974893,R1926.167603
X6.376209,Y12.974895,R1926.167603
X6.585555,Y12.765549,R1919.336304
X6.585555,Y12.765550,R1919.336304
X6.2648,R1735.536499
X2.842813,Y20.859083,R1726.696411
X2.842816,Y20.859081,R1726.696411
X2.277213,Y21.476023,R1717.899048
X2.277214,Y21.476021,R1717.899048
X2.544023,Y21.209213,R1709.192627
X2.544023,Y21.209213,R1709.19269
X-0.288021,Y22.459864,R1524.821289
X-1.390203,Y22.301458,R1516.465088
X-1.390205,Y22.301460,R1516.465088
X-1.657066,Y22.345434,R1507.963135
X-1.657064,Y22.345432,R1507.963135
X-1.657062,Y22.345430,R1507.963135
X-1.9649658
X-9.795032,Y22.243090,R1315.562256
X-10.728085,Y22.290148,R1307.452148
X-10.728085,Y22.290148,R1307.452148
X-11.072445,Y22.183235,R1299.357666
X-11.072445,Y22.183235,R1299.357666
X-11.417109,Y22.068367,R1291.222-14.963808,Y16.913282,R1128.066528
X-14.963810,Y16.913284,R1128.066528
X-15.321635,Y16.652805,R1119.872681
X-15.321634,Y16.652803,R1119.872681
X-15.672120,Y16.378010,R1111.444214
X-15.672117,Y16.378008,R1111.444214
X-11.887522,Y8.674024,R928.425171
X-21.887520,Y8.674022,R928.425171
X-22.811325,Y8.080523,R920.510986
X-22.811325,Y8.080523,R920.510986
X-22.569149,Y7.838346,R912.608398
X-22.569147,Y7.838345,R912.608398
X-22.901428,Y7.408701,R719.855347
X-29.497545,Y-4.396874,R711.712708
X-29.497543,Y-4.396875,R711.712708
X-29.246563,Y-4.647855,R703.522888
X-29.246561,Y-4.647856,R703.522888
X-28.998051,Y-4.896367,R695.413635
X-28.998051,Y-4.896368,R690
X-28.590151,Y-15.566075,R518.317322
X-28.590153,Y-15.566072,R518.317322
X-28.734972,Y-16.279964,R510.111908
X-28.734974,Y-16.279963,R510.111908
X-28.883669,Y-16.989201,R502.199615
X-28.883671,Y-16.989199,R502.19961529.525221,R329.404968
X-27.760839,Y-29.525221,R329.404968
X-27.760839,Y-29.525221,R329.404968
X-27.512180,Y-29.773880,R321.290833
X-27.262745,Y-30.023315,R313.151459
X-27.262747,Y-30.023314,R313.151459
X-27.257891,Y-3077,R156.424210
X-16.435169,Y-36.172703,R147.884064
X-16.435169,Y-36.172703,R147.884064
X-16.057322,Y-35.835770,R139.377319
X-16.057322,Y-35.835770,R139.377319
X-14.603019,Y-36.312588,R131.010223
X-14.603018,Y-36.3125886.257198
X-5.974881,Y-33.495457,R46.257198
X-5.043446,Y-32.570454,R37.793659
X-5.043445,Y-32.570454,R37.793659
X-3.523405,Y-31.656542,R29.534140
X-3.523406,Y-31.656540,R29.534140
X-2.630879,Y-30.704731,R21.457668
X-2.630878,Y-30.704733,R21.457668
X-2.371704,Y-29.722853,R13.759994
X-2.371704,Y-29.722853,R13.759994
X-1.515401,Y-27.518047,R6.395411
X-1.515402,Y-27.518045,R6.395411
X-1.297805,Y-25.910595,R-0.768823
X-1.297804,Y-25.910595,R-0.768823
X-1.297803,Y-25.910595,R-0.768823
X0.110637,Y-24.280647,R-7.616008
X0.864702,Y-22.025513,R-13.886440
X0.864701,Y-22.025513,R-13.886440
X0.975317,Y-19.767570,R-19.667099
X0.975317,Y-19.767570,R-19.667099
X0.975317,Y-19.767570,R-19.667099
X1.661869,Y-17.474291,R-24.965414
X1.704662,Y-15.183376,R-29.632444
X1.704661,Y-15.183375,R-29.632444
X1.704661,Y-15.183374,R-29.632444
X2.931489,Y-12.817158,R-33.681236
X2.916661,Y-10.495797,R-37.315376
X2.916661,Y-10.495796,R-37.315376
X3.518013,Y-8.733375,R-40.444397
X3.518014,Y-8.733375,R-40.444397
X3.518014,Y-8.733375,R-40.444397
X4.057060,Y-6.341715,R-42.934353
X3.923773,Y-3.358480,R-44.757938
X3.923772,Y-3.358479,R-44.757938
X3.800405,Y-0.958834,R-45.783649
X3.800406,Y-0.958835,R-45.783649
